O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID)
13-1199.06,Online Merchants,15732,"Prepare or organize online storefront marketing material, including product descriptions or subject lines, optimizing content to search engine criteria.",Core,07/2014,3.0,3.0,4.08,84.77,,,"['Thinking Creatively', 'Selling or Influencing Others']","['4.A.2.b.2', '4.A.4.a.6']"
13-1199.06,Online Merchants,15704,Order or purchase merchandise to maintain optimal inventory levels.,Core,07/2014,5.0,5.0,4.08,76.88,,,['Monitoring and Controlling Resources'],['4.A.4.c.3']
13-1199.06,Online Merchants,15711,Create or maintain database of customer accounts.,Core,07/2014,5.0,5.0,3.85,84.21,,,['Documenting/Recording Information'],['4.A.3.b.6']
13-1199.06,Online Merchants,15717,"Promote products in online communities through weblog or discussion-forum postings, e-mail marketing programs, or online advertising.",Core,07/2014,4.0,4.0,3.85,83.78,,,['Selling or Influencing Others'],['4.A.4.a.6']
13-1199.06,Online Merchants,15721,"Investigate products or markets to determine areas for opportunity or viability for merchandising specific products, using online or offline sources.",Core,07/2014,3.0,3.0,3.81,80.72,,,"['Identifying Objects, Actions, and Events']",['4.A.1.b.1']
13-1199.06,Online Merchants,15719,Measure and analyze Web site usage data to maximize search engine returns or refine customer interfaces.,Core,07/2014,3.0,3.0,3.6,69.81,,,['Analyzing Data or Information'],['4.A.2.a.4']
13-1199.06,Online Merchants,15715,"Transfer digital media, such as music, video, or software, to customers via the Internet.",Supplemental,07/2014,4.0,4.0,3.9,29.98,,,['Performing Administrative Activities'],['4.A.4.c.1']
13-1199.06,Online Merchants,15722,Initiate online auctions through auction hosting sites or auction management software.,Supplemental,07/2014,3.0,3.0,3.76,45.37,,,['Performing Administrative Activities'],['4.A.4.c.1']
13-1199.06,Online Merchants,15702,"Participate in online forums or conferences to stay abreast of online retailing trends, techniques, or security threats.",Supplemental,07/2014,3.0,3.0,3.39,60.44,,,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
13-1199.06,Online Merchants,15706,Integrate online retailing strategy with physical or catalogue retailing operations.,Supplemental,07/2014,3.0,3.0,3.36,53.5,,,['Thinking Creatively'],['4.A.2.b.2']
13-2011.00,Accountants and Auditors,21511,"Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity.",Core,11/2020,3.0,3.0,4.3,100.0,93520.0,1448290.0,"['Evaluating Information to Determine Compliance with Standards', 'Providing Consultation and Advice to Others']","['4.A.2.a.3', '4.A.4.b.6']"
13-2011.00,Accountants and Auditors,21514,"Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.",Core,11/2020,3.0,3.0,4.24,96.39,93520.0,1448290.0,"['Evaluating Information to Determine Compliance with Standards', 'Analyzing Data or Information']","['4.A.2.a.3', '4.A.2.a.4']"
13-2011.00,Accountants and Auditors,21515,Prepare adjusting journal entries.,Core,11/2020,3.0,3.0,4.23,87.3,93520.0,1448290.0,"['Analyzing Data or Information', 'Documenting/Recording Information']","['4.A.2.a.4', '4.A.3.b.6']"
13-2011.00,Accountants and Auditors,21516,Review accounts for discrepancies and reconcile differences.,Core,11/2020,3.0,3.0,4.23,93.91,93520.0,1448290.0,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
13-2011.00,Accountants and Auditors,21519,"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",Core,11/2020,5.0,5.0,4.03,71.47,93520.0,1448290.0,['Analyzing Data or Information'],['4.A.2.a.4']
13-2011.00,Accountants and Auditors,21520,Report to management regarding the finances of establishment.,Core,11/2020,3.0,3.0,4.03,85.77,93520.0,1448290.0,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2']
13-2011.00,Accountants and Auditors,21522,"Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets.",Core,11/2020,3.0,3.0,3.82,80.95,93520.0,1448290.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
13-2023.00,Appraisers and Assessors of Real Estate,21549,"Compute final estimation of property values, taking into account such factors as depreciation, replacement costs, value comparisons of similar properties, and income potential.",Core,11/2020,5.0,5.0,4.75,100.0,,,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
13-2023.00,Appraisers and Assessors of Real Estate,21550,"Prepare written reports that estimate property values, outline methods by which the estimations were made, and meet appraisal standards.",Core,11/2020,4.0,4.0,4.65,100.0,,,['Documenting/Recording Information'],['4.A.3.b.6']
13-2023.00,Appraisers and Assessors of Real Estate,21552,Collect and analyze relevant data to identify real estate market trends.,Core,11/2020,4.0,4.0,4.5,100.0,,,['Analyzing Data or Information'],['4.A.2.a.4']
13-2023.00,Appraisers and Assessors of Real Estate,21553,"Prepare and maintain current data on each parcel assessed, including maps of boundaries, inventories of land and structures, property characteristics, and any applicable exemptions.",Core,11/2020,5.0,5.0,4.5,79.03,,,['Documenting/Recording Information'],['4.A.3.b.6']
13-2023.00,Appraisers and Assessors of Real Estate,21555,Identify the ownership of each piece of taxable property.,Core,11/2020,6.0,6.0,4.45,78.48,,,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
13-2023.00,Appraisers and Assessors of Real Estate,21557,Complete and maintain assessment rolls that show the assessed values and status of all property in a municipality.,Core,11/2020,5.0,5.0,4.39,83.61,,,['Documenting/Recording Information'],['4.A.3.b.6']
13-2023.00,Appraisers and Assessors of Real Estate,21558,"Review information about transfers of property to ensure its accuracy, checking basic information on buyers, sellers, and sales prices and making corrections as necessary.",Core,11/2020,5.0,5.0,4.37,72.06,,,['Processing Information'],['4.A.2.a.2']
13-2023.00,Appraisers and Assessors of Real Estate,21562,Examine income records and operating costs of income properties.,Core,11/2020,4.0,4.0,4.26,95.0,,,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
13-2023.00,Appraisers and Assessors of Real Estate,21565,"Search public records for transactions such as sales, leases, and assessments.",Core,11/2020,4.0,4.0,4.15,100.0,,,['Getting Information'],['4.A.1.a.1']
13-2023.00,Appraisers and Assessors of Real Estate,21566,Check building codes and zoning bylaws to determine any effects on the properties being appraised.,Core,11/2020,5.0,5.0,4.1,100.0,,,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
13-2023.00,Appraisers and Assessors of Real Estate,21567,Verify legal descriptions of properties by comparing them to county records.,Core,11/2020,5.0,5.0,4.0,100.0,,,['Processing Information'],['4.A.2.a.2']
13-2023.00,Appraisers and Assessors of Real Estate,21570,Obtain county land values and sales information about nearby properties to aid in establishment of property values.,Core,11/2020,4.0,4.0,3.75,100.0,,,['Getting Information'],['4.A.1.a.1']
13-2023.00,Appraisers and Assessors of Real Estate,21572,"Estimate building replacement costs, using building valuation manuals and professional cost estimators.",Core,11/2020,4.0,4.0,3.5,100.0,,,['Making Decisions and Solving Problems'],['4.A.2.b.1']
13-2023.00,Appraisers and Assessors of Real Estate,21573,Draw land diagrams to be used in appraisal reports to support findings.,Core,11/2020,4.0,4.0,3.25,80.0,,,['Thinking Creatively'],['4.A.2.b.2']
13-2023.00,Appraisers and Assessors of Real Estate,21575,Calculate tax bills for properties by multiplying assessed values by jurisdiction tax rates.,Supplemental,11/2020,5.0,5.0,4.44,44.96,,,['Analyzing Data or Information'],['4.A.2.a.4']
13-2023.00,Appraisers and Assessors of Real Estate,21577,"Analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.",Supplemental,11/2020,3.0,3.0,4.23,64.86,,,['Analyzing Data or Information'],['4.A.2.a.4']
13-2031.00,Budget Analysts,3394,Analyze monthly department budgeting and accounting reports to maintain expenditure controls.,Core,08/2024,3.0,3.0,4.37,100.0,93920.0,47170.0,['Analyzing Data or Information'],['4.A.2.a.4']
13-2031.00,Budget Analysts,3401,Review operating budgets to analyze trends affecting budget needs.,Core,08/2024,3.0,3.0,4.15,96.02,93920.0,47170.0,['Analyzing Data or Information'],['4.A.2.a.4']
13-2031.00,Budget Analysts,3405,Compile and analyze accounting records and other data to determine the financial resources required to implement a program.,Core,08/2024,3.0,3.0,4.12,86.5,93920.0,47170.0,"['Getting Information', 'Analyzing Data or Information']","['4.A.1.a.1', '4.A.2.a.4']"
13-2031.00,Budget Analysts,3395,Direct the preparation of regular and special budget reports.,Core,08/2024,3.0,3.0,4.02,91.97,93920.0,47170.0,['Documenting/Recording Information'],['4.A.3.b.6']
13-2041.00,Credit Analysts,1250,Analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,Core,08/2020,7.0,7.0,4.9,100.0,98040.0,67370.0,['Analyzing Data or Information'],['4.A.2.a.4']
13-2041.00,Credit Analysts,1254,"Complete loan applications, including credit analyses and summaries of loan requests, and submit to loan committees for approval.",Core,08/2020,5.0,5.0,4.76,85.0,98040.0,67370.0,['Documenting/Recording Information'],['4.A.3.b.6']
13-2041.00,Credit Analysts,1255,"Generate financial ratios, using computer programs, to evaluate customers' financial status.",Core,08/2020,5.0,5.0,4.55,100.0,98040.0,67370.0,['Analyzing Data or Information'],['4.A.2.a.4']
13-2041.00,Credit Analysts,1251,Prepare reports that include the degree of risk involved in extending credit or lending money.,Core,08/2020,5.0,5.0,4.55,100.0,98040.0,67370.0,['Documenting/Recording Information'],['4.A.3.b.6']
13-2041.00,Credit Analysts,1259,"Analyze financial data, such as income growth, quality of management, and market share to determine expected profitability of loans.",Core,08/2020,5.0,5.0,4.53,95.0,98040.0,67370.0,['Analyzing Data or Information'],['4.A.2.a.4']
13-2041.00,Credit Analysts,1257,"Compare liquidity, profitability, and credit histories of establishments being evaluated with those of similar establishments in the same industries and geographic locations.",Core,08/2020,5.0,5.0,4.25,100.0,98040.0,67370.0,['Analyzing Data or Information'],['4.A.2.a.4']
13-2041.00,Credit Analysts,1252,"Evaluate customer records and recommend payment plans, based on earnings, savings data, payment history, and purchase activity.",Supplemental,08/2020,5.0,5.0,3.69,65.0,98040.0,67370.0,"['Judging the Qualities of Objects, Services, or People', 'Providing Consultation and Advice to Others']","['4.A.2.a.1', '4.A.4.b.6']"
13-2052.00,Personal Financial Advisors,12904,Analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,Core,08/2024,5.0,5.0,4.62,100.0,160210.0,270480.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
13-2052.00,Personal Financial Advisors,20184,"Manage client portfolios, keeping client plans up-to-date.",Core,08/2024,5.0,5.0,4.44,96.15,160210.0,270480.0,['Making Decisions and Solving Problems'],['4.A.2.b.1']
13-2052.00,Personal Financial Advisors,20189,"Recommend financial products, such as stocks, bonds, mutual funds, or insurance.",Core,08/2024,4.0,4.0,4.21,92.31,160210.0,270480.0,['Providing Consultation and Advice to Others'],['4.A.4.b.6']
13-2052.00,Personal Financial Advisors,12913,"Prepare or interpret for clients information, such as investment performance reports, financial document summaries, or income projections.",Core,08/2024,4.0,4.0,4.04,100.0,160210.0,270480.0,"['Documenting/Recording Information', 'Interpreting the Meaning of Information for Others']","['4.A.3.b.6', '4.A.4.a.1']"
13-2052.00,Personal Financial Advisors,20188,Monitor financial market trends to ensure that client plans are responsive.,Core,08/2024,5.0,5.0,3.58,92.31,160210.0,270480.0,['Analyzing Data or Information'],['4.A.2.a.4']
13-2053.00,Insurance Underwriters,1261,Decline excessive risks.,Core,08/2018,4.0,4.0,4.43,100.0,90830.0,107820.0,['Making Decisions and Solving Problems'],['4.A.2.b.1']
13-2053.00,Insurance Underwriters,1262,"Write to field representatives, medical personnel, or others to obtain further information, quote rates, or explain company underwriting policies.",Core,08/2018,6.0,6.0,4.3,100.0,90830.0,107820.0,['Interpreting the Meaning of Information for Others'],['4.A.4.a.1']
13-2053.00,Insurance Underwriters,1265,Review company records to determine amount of insurance in force on single risk or group of closely related risks.,Core,08/2018,6.0,6.0,4.04,93.33,90830.0,107820.0,['Processing Information'],['4.A.2.a.2']
13-2053.00,Insurance Underwriters,1264,"Decrease value of policy when risk is substandard and specify applicable endorsements or apply rating to ensure safe, profitable distribution of risks, using reference materials.",Core,08/2018,6.0,6.0,3.97,96.67,90830.0,107820.0,['Making Decisions and Solving Problems'],['4.A.2.b.1']
13-2061.00,Financial Examiners,7317,"Recommend actions to ensure compliance with laws and regulations, or to protect solvency of institutions.",Core,08/2020,3.0,3.0,4.65,100.0,103650.0,62830.0,['Providing Consultation and Advice to Others'],['4.A.4.b.6']
13-2061.00,Financial Examiners,7319,"Prepare reports, exhibits, and other supporting schedules that detail an institution's safety and soundness, compliance with laws and regulations, and recommended solutions to questionable financial conditions.",Core,08/2020,3.0,3.0,4.45,95.65,103650.0,62830.0,['Documenting/Recording Information'],['4.A.3.b.6']
13-2061.00,Financial Examiners,7320,"Review balance sheets, operating income and expense accounts, and loan documentation to confirm institution assets and liabilities.",Core,08/2020,3.0,3.0,4.13,100.0,103650.0,62830.0,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
13-2061.00,Financial Examiners,7321,Review audit reports of internal and external auditors to monitor adequacy of scope of reports or to discover specific weaknesses in internal routines.,Core,08/2020,3.0,3.0,4.04,100.0,103650.0,62830.0,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
13-2061.00,Financial Examiners,7318,"Examine the minutes of meetings of directors, stockholders, and committees to investigate the specific authority extended at various levels of management.",Core,08/2020,3.0,3.0,3.96,100.0,103650.0,62830.0,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
13-2071.00,Credit Counselors,18935,Calculate clients' available monthly income to meet debt obligations.,Core,08/2020,7.0,7.0,4.84,100.0,55890.0,28110.0,"['Estimating the Quantifiable Characteristics of Products, Events, or Information']",['4.A.1.b.3']
13-2071.00,Credit Counselors,18938,"Explain services or policies to clients, such as debt management program rules, advantages and disadvantages of using services, or creditor concession policies.",Core,08/2020,7.0,7.0,4.79,96.0,55890.0,28110.0,['Interpreting the Meaning of Information for Others'],['4.A.4.a.1']
13-2071.00,Credit Counselors,18936,"Create debt management plans, spending plans, or budgets to assist clients to meet financial goals.",Core,08/2020,7.0,7.0,4.76,100.0,55890.0,28110.0,['Thinking Creatively'],['4.A.2.b.2']
13-2071.00,Credit Counselors,18943,"Prioritize client debt repayment to avoid dire consequences, such as bankruptcy or foreclosure or to reduce overall costs, such as by paying high-interest or short-term loans first.",Core,08/2020,6.0,6.0,4.72,100.0,55890.0,28110.0,['Thinking Creatively'],['4.A.2.b.2']
13-2071.00,Credit Counselors,18934,"Assess clients' overall financial situations by reviewing income, assets, debts, expenses, credit reports, or other financial information.",Core,08/2020,7.0,7.0,4.72,100.0,55890.0,28110.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
13-2071.00,Credit Counselors,18945,"Recommend strategies for clients to meet their financial goals, such as borrowing money through loans or loan programs, declaring bankruptcy, making budget adjustments, or enrolling in debt management plans.",Core,08/2020,7.0,7.0,4.71,100.0,55890.0,28110.0,['Providing Consultation and Advice to Others'],['4.A.4.b.6']
13-2071.00,Credit Counselors,18937,"Estimate time for debt repayment, given amount of debt, interest rates, and available funds.",Core,08/2020,5.0,5.0,4.52,100.0,55890.0,28110.0,"['Estimating the Quantifiable Characteristics of Products, Events, or Information']",['4.A.1.b.3']
13-2071.00,Credit Counselors,18942,Prepare written documents to establish contracts with or communicate financial recommendations to clients.,Core,08/2020,5.0,5.0,4.48,95.83,55890.0,28110.0,['Documenting/Recording Information'],['4.A.3.b.6']
13-2071.00,Credit Counselors,18940,"Maintain or update records of client account activity, including financial transactions, counseling session notes, correspondence, document images, or client inquiries.",Core,08/2020,7.0,7.0,4.42,96.0,55890.0,28110.0,['Documenting/Recording Information'],['4.A.3.b.6']
13-2071.00,Credit Counselors,18941,"Negotiate with creditors on behalf of clients to arrange for payment adjustments, interest rate reductions, time extensions, or payment plans.",Core,08/2020,5.0,5.0,4.35,80.0,55890.0,28110.0,['Resolving Conflicts and Negotiating with Others'],['4.A.4.a.7']
13-2071.00,Credit Counselors,18950,Create action plans to assist clients in obtaining permanent housing via rent or mortgage programs.,Core,08/2020,3.0,3.0,4.25,96.0,55890.0,28110.0,['Thinking Creatively'],['4.A.2.b.2']
13-2071.00,Credit Counselors,18933,"Advise clients or respond to inquiries about financial matters in person or via phone, email, Web site, or Internet chat.",Core,08/2020,7.0,7.0,4.24,100.0,55890.0,28110.0,"['Performing for or Working Directly with the Public', 'Providing Consultation and Advice to Others']","['4.A.4.a.8', '4.A.4.b.6']"
13-2071.00,Credit Counselors,18947,"Review changes to financial, family, or employment situations to determine whether changes to existing debt management plans, spending plans, or budgets are needed.",Core,08/2020,4.0,4.0,4.04,96.0,55890.0,28110.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
13-2071.00,Credit Counselors,18944,"Recommend educational materials or resources to clients on matters, such as financial planning, budgeting, or credit.",Core,08/2020,7.0,7.0,4.0,100.0,55890.0,28110.0,['Interpreting the Meaning of Information for Others'],['4.A.4.a.1']
13-2071.00,Credit Counselors,18946,Refer clients to social service or community resources for needs beyond those of credit or debt counseling.,Core,08/2020,5.0,5.0,3.83,100.0,55890.0,28110.0,['Assisting and Caring for Others'],['4.A.4.a.5']
13-2071.00,Credit Counselors,18949,Conduct research to help clients avoid repossessions or foreclosures or remove levies or wage garnishments.,Core,08/2020,4.0,4.0,3.71,96.0,55890.0,28110.0,['Thinking Creatively'],['4.A.2.b.2']
13-2071.00,Credit Counselors,18951,Disburse funds from client accounts to creditors.,Supplemental,08/2020,3.0,3.0,4.6,43.48,55890.0,28110.0,['Performing Administrative Activities'],['4.A.4.c.1']
13-2072.00,Loan Officers,3409,"Analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",Core,08/2020,5.0,5.0,4.57,97.24,86020.0,290530.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
13-2072.00,Loan Officers,3407,"Approve loans within specified limits, and refer loan applications outside those limits to management for approval.",Core,08/2020,5.0,5.0,4.4,80.11,86020.0,290530.0,['Making Decisions and Solving Problems'],['4.A.2.b.1']
13-2072.00,Loan Officers,3416,Submit applications to credit analysts for verification and recommendation.,Core,08/2020,4.0,4.0,4.19,80.78,86020.0,290530.0,['Performing Administrative Activities'],['4.A.4.c.1']
13-2072.00,Loan Officers,3413,Review loan agreements to ensure that they are complete and accurate according to policy.,Core,08/2020,3.0,3.0,4.14,82.89,86020.0,290530.0,['Processing Information'],['4.A.2.a.2']
13-2072.00,Loan Officers,3412,Review and update credit and loan files.,Core,08/2020,5.0,5.0,4.13,96.96,86020.0,290530.0,"['Evaluating Information to Determine Compliance with Standards', 'Documenting/Recording Information']","['4.A.2.a.3', '4.A.3.b.6']"
13-2072.00,Loan Officers,3411,"Obtain and compile copies of loan applicants' credit histories, corporate financial statements, and other financial information.",Core,08/2020,4.0,4.0,4.13,98.54,86020.0,290530.0,['Getting Information'],['4.A.1.a.1']
13-2072.00,Loan Officers,3415,Stay abreast of new types of loans and other financial services and products to better meet customers' needs.,Core,08/2020,3.0,3.0,3.87,92.02,86020.0,290530.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
13-2072.00,Loan Officers,3414,Compute payment schedules.,Core,08/2020,4.0,4.0,3.57,86.88,86020.0,290530.0,"['Estimating the Quantifiable Characteristics of Products, Events, or Information']",['4.A.1.b.3']
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",5293,Send notices to taxpayers when accounts are delinquent.,Core,08/2022,7.0,7.0,4.59,72.38,67570.0,53530.0,['Communicating with People Outside the Organization'],['4.A.4.a.3']
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",5294,"Notify taxpayers of any overpayment or underpayment, and either issue a refund or request further payment.",Core,08/2022,5.0,5.0,4.36,95.31,67570.0,53530.0,['Communicating with People Outside the Organization'],['4.A.4.a.3']
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",5290,"Maintain records for each case, including contacts, telephone numbers, and actions taken.",Core,08/2022,7.0,7.0,4.35,87.31,67570.0,53530.0,['Documenting/Recording Information'],['4.A.3.b.6']
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",5292,Contact taxpayers by mail or telephone to address discrepancies and to request supporting documentation.,Core,08/2022,5.0,5.0,4.21,82.6,67570.0,53530.0,['Performing for or Working Directly with the Public'],['4.A.4.a.8']
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",5288,Collect taxes from individuals or businesses according to prescribed laws and regulations.,Supplemental,08/2022,7.0,7.0,4.78,65.13,67570.0,53530.0,['Monitoring and Controlling Resources'],['4.A.4.c.3']
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",5302,"Check tax forms to verify that names and taxpayer identification numbers are correct, that computations have been performed correctly, or that amounts match those on supporting documentation.",Supplemental,08/2022,7.0,7.0,4.54,60.29,67570.0,53530.0,['Processing Information'],['4.A.2.a.2']
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",5303,Examine and analyze tax assets and liabilities to determine resolution of delinquent tax problems.,Supplemental,08/2022,7.0,7.0,4.54,42.24,67570.0,53530.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",5301,Impose payment deadlines on delinquent taxpayers and monitor payments to ensure that deadlines are met.,Supplemental,08/2022,7.0,7.0,4.48,66.6,67570.0,53530.0,['Communicating with People Outside the Organization'],['4.A.4.a.3']
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",5296,Review filed tax returns to determine whether claimed tax credits and deductions are allowed by law.,Supplemental,08/2022,6.0,6.0,4.21,35.67,67570.0,53530.0,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",5289,"Maintain knowledge of tax code changes, and of accounting procedures and theory to properly evaluate financial information.",Supplemental,08/2022,3.0,3.0,4.19,63.64,67570.0,53530.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",5310,"Investigate claims of inability to pay taxes by researching court information for the status of liens, mortgages, or financial statements, or by locating assets through third parties.",Supplemental,08/2022,5.0,5.0,4.02,41.25,67570.0,53530.0,"['Getting Information', 'Evaluating Information to Determine Compliance with Standards']","['4.A.1.a.1', '4.A.2.a.3']"
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",5299,Examine accounting systems and records to determine whether accounting methods used were appropriate and in compliance with statutory provisions.,Supplemental,08/2022,3.0,3.0,3.87,36.92,67570.0,53530.0,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
13-2082.00,Tax Preparers,7360,"Use all appropriate adjustments, deductions, and credits to keep clients' taxes to a minimum.",Core,08/2020,7.0,7.0,4.81,100.0,58860.0,73570.0,"['Estimating the Quantifiable Characteristics of Products, Events, or Information']",['4.A.1.b.3']
13-2082.00,Tax Preparers,7358,"Compute taxes owed or overpaid, using adding machines or personal computers, and complete entries on forms, following tax form instructions and tax tables.",Core,08/2020,7.0,7.0,4.68,100.0,58860.0,73570.0,"['Estimating the Quantifiable Characteristics of Products, Events, or Information']",['4.A.1.b.3']
13-2082.00,Tax Preparers,7362,"Review financial records, such as income statements and documentation of expenditures to determine forms needed to prepare tax returns.",Core,08/2020,6.0,6.0,4.68,100.0,58860.0,73570.0,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
13-2082.00,Tax Preparers,7359,Prepare or assist in preparing simple to complex tax returns for individuals or small businesses.,Core,08/2020,7.0,7.0,4.59,100.0,58860.0,73570.0,"['Estimating the Quantifiable Characteristics of Products, Events, or Information']",['4.A.1.b.3']
13-2082.00,Tax Preparers,7366,"Check data input or verify totals on forms prepared by others to detect errors in arithmetic, data entry, or procedures.",Core,08/2020,6.0,6.0,4.52,100.0,58860.0,73570.0,['Processing Information'],['4.A.2.a.2']
13-2082.00,Tax Preparers,7363,Furnish taxpayers with sufficient information and advice to ensure correct tax form completion.,Core,08/2020,5.0,5.0,4.5,100.0,58860.0,73570.0,['Providing Consultation and Advice to Others'],['4.A.4.b.6']
13-2082.00,Tax Preparers,7364,Consult tax law handbooks or bulletins to determine procedures for preparation of atypical returns.,Core,08/2020,5.0,5.0,4.43,100.0,58860.0,73570.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
13-2082.00,Tax Preparers,20363,Answer questions and provide future tax planning to clients.,Core,08/2020,5.0,5.0,4.27,100.0,58860.0,73570.0,"['Thinking Creatively', 'Performing for or Working Directly with the Public']","['4.A.2.b.2', '4.A.4.a.8']"
13-2082.00,Tax Preparers,7365,Calculate form preparation fees according to return complexity and processing time required.,Core,08/2020,5.0,5.0,4.05,100.0,58860.0,73570.0,"['Estimating the Quantifiable Characteristics of Products, Events, or Information']",['4.A.1.b.3']
13-2082.00,Tax Preparers,21165,Schedule appointments with clients.,Core,08/2020,5.0,5.0,3.91,100.0,58860.0,73570.0,['Scheduling Work and Activities'],['4.A.2.b.5']
13-2099.01,Financial Quantitative Analysts,15997,"Apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation.",Core,08/2023,3.0,3.0,4.4,100.0,,,['Analyzing Data or Information'],['4.A.2.a.4']
13-2099.01,Financial Quantitative Analysts,15988,Produce written summary reports of financial research results.,Core,08/2023,3.0,3.0,3.65,100.0,,,['Documenting/Recording Information'],['4.A.3.b.6']
13-2099.01,Financial Quantitative Analysts,15983,Provide application or analytical support to researchers or traders on issues such as valuations or data.,Core,08/2023,4.0,4.0,3.58,95.0,,,['Providing Consultation and Advice to Others'],['4.A.4.b.6']
13-2099.04,"Fraud Examiners, Investigators and Analysts",16046,Prepare written reports of investigation findings.,Core,08/2023,3.0,3.0,4.71,96.0,,,['Documenting/Recording Information'],['4.A.3.b.6']
13-2099.04,"Fraud Examiners, Investigators and Analysts",16053,Document all investigative activities.,Core,08/2023,5.0,5.0,4.62,96.0,,,['Documenting/Recording Information'],['4.A.3.b.6']
13-2099.04,"Fraud Examiners, Investigators and Analysts",16054,"Create and maintain logs, records, or databases of information about fraudulent activity.",Core,08/2023,3.0,3.0,4.58,96.0,,,['Documenting/Recording Information'],['4.A.3.b.6']
13-2099.04,"Fraud Examiners, Investigators and Analysts",16057,"Analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures.",Core,08/2023,4.0,4.0,4.18,88.0,,,['Analyzing Data or Information'],['4.A.2.a.4']
15-1211.00,Computer Systems Analysts,20950,Troubleshoot program and system malfunctions to restore normal functioning.,Core,08/2023,3.0,3.0,4.24,98.82,111960.0,497800.0,['Working with Computers'],['4.A.3.b.1']
15-1211.00,Computer Systems Analysts,3465,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",Core,08/2023,5.0,5.0,4.0,90.01,111960.0,497800.0,"['Monitoring Processes, Materials, or Surroundings', 'Inspecting Equipment, Structures, or Materials', 'Guiding, Directing, and Motivating Subordinates']","['4.A.1.a.2', '4.A.1.b.2', '4.A.4.b.4']"
15-1211.00,Computer Systems Analysts,3482,"Use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems.",Core,08/2023,5.0,5.0,3.97,90.87,111960.0,497800.0,['Thinking Creatively'],['4.A.2.b.2']
15-1211.00,Computer Systems Analysts,3466,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",Core,08/2023,6.0,6.0,3.71,88.2,111960.0,497800.0,['Working with Computers'],['4.A.3.b.1']
